iterations,slope,intercept
192000,637.0172370201063,224671.883503597
192500,636.6746055256222,224693.6958775495
193000,636.3362956913498,224715.23312889895
193500,636.002253007568,224736.49872780638
194000,635.6724236520887,224757.4961006634
194500,635.346754481603,224778.22863064328
195000,635.0251930231,224798.69965824726
195500,634.7076874654185,224818.91248184242
196000,634.394186650902,224838.87035819274
196500,634.0846400671476,224858.57650298468
197000,633.7789978388781,224878.03409134425
197500,633.4772107198977,224897.2462583494
198000,633.1792300851591,224916.2160995349
198500,632.8850079229227,224934.94667139166
199000,632.5944968270487,224953.44099185715
199500,632.3076499893152,224971.70204080467
200000,632.0244211919103,224989.73276052126
200500,631.744764799969,225007.53605618275
201000,631.4686357542301,225025.11479632123
201500,631.1959895637744,225042.47181328753
202000,630.9267822988514,225059.6099037076
202500,630.6609705837906,225076.531828934
203000,630.3985115900358,225093.24031548918
203500,630.139363029233,225109.73805550576
204000,629.8834831464164,225126.02770716004
204500,629.6308307132842,225142.11189510016
205000,629.3813650215501,225157.9932108695
205500,629.1350458763845,225173.67421332406
206000,628.891833589946,225189.1574290443
206500,628.6516889749772,225204.4453527428
207000,628.4145733385049,225219.54044766544
207500,628.1804484755781,225234.4451459899
208000,627.9492766631515,225249.1618492151
208500,627.7210206539645,225263.6929285509
209000,627.4956436705753,225278.04072529788
209500,627.2731093994237,225292.2075512253
210000,627.0533819849712,225306.19568894416
210500,626.8364260239289,225320.0073922746
211000,626.6222065595623,225333.64488660856
211500,626.4106890760339,225347.11036926994
212000,626.2018394928836,225360.40600986587
212500,625.9956241594966,225373.53395063893
213000,625.7920098497076,225386.49630681082
213500,625.5909637564291,225399.295166924
214000,625.3924534863703,225411.9325931783
214500,625.1964470548351,225424.4106217617
215000,625.0029128805556,225436.73126317945
215500,624.8118197805852,225448.8965025792
216000,624.6231369653012,225460.90830006907
216500,624.4368340334468,225472.7685910332
217000,624.252880967215,225484.47928644493
217500,624.0712481274073,225496.04227317474
218000,623.8919062486665,225507.45941429402
218500,623.714826434778,225518.73254937402
219000,623.5399801539988,225529.86349478317
219500,623.3673392344446,225540.85404398091
220000,623.1968758595908,225551.70596780398
220500,623.0285625637407,225562.42101475492
221000,622.862372227646,225573.0009112809
221500,622.6982780741114,225583.44736205364
222000,622.5362536636892,225593.76205024333
222500,622.3762728904084,225603.94663779053
223000,622.218309977573,225614.00276567388
223500,622.0623394736267,225623.93205417306
224000,621.908336248038,225633.73610313094
224500,621.7562754872255,225643.4164922129
225000,621.6061326906117,225652.97478115815
225500,621.4578836666383,225662.41251003323
226000,621.3115045288839,225671.7311994793
226500,621.1669716921929,225680.93235095858
227000,621.0242618689136,225690.01744699376
227500,620.8833520651149,225698.98795140893
228000,620.7442195768962,225707.84530956432
228500,620.6068419867225,225716.59094858993
229000,620.4711971598038,225725.22627761573
229500,620.3372632405517,225733.7526879974
230000,620.205018649042,225742.1715535414
230500,620.0744420775495,225750.48423072573
231000,619.9455124870894,225758.69205891996
231500,619.8182091040592,225766.7963605991
232000,619.6925114168621,225774.79844155855
232500,619.5683991726368,225782.6995911222
233000,619.4458523739604,225790.5010823524
233500,619.3248512756369,225798.20417225448
234000,619.2053763815255,225805.81010197854
234500,619.0874084414093,225813.32009701882
235000,618.9709284478499,225820.735367414
235500,618.8559176331607,225828.0571079398
236000,618.7423574663818,225835.28649830166
236500,618.6302296502871,225842.42470332514
237000,618.5195161184222,225849.4728731447
237500,618.4101990322207,225856.43214338695
238000,618.3022607781169,225863.30363535482
238500,618.1956839647085,225870.088456208
239000,618.090451419941,225876.78769914218
239500,617.9865461883619,225883.40244356383
240000,617.8839515283838,225889.9337552646
240500,617.7826509095676,225896.38268659406
241000,617.6826280099891,225902.7502766275
241500,617.5838667136094,225909.03755133325
242000,617.4863511076236,225915.24552374156
242500,617.3900654799763,225921.37519410258
243000,617.294994316768,225927.42755005174
243500,617.2011222997779,225933.4035667671
244000,617.1084343040144,225939.3042071258
244500,617.016915395246,225945.1304218606
245000,616.9265508276058,225950.88314971302
245500,616.8373260412275,225956.56331758332
246000,616.7492266598795,225962.1718406814
246500,616.6622384886734,225967.70962267264
247000,616.5763475117533,225973.177555825
247500,616.4915398900511,225978.57652115182
248000,616.4078019590539,225983.90738855404
248500,616.3251202265952,225989.1710169608
249000,616.2434813706936,225994.36825446715
249500,616.1628722374007,225999.49993847075
250000,616.0832798386723,226004.56689580771
